first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Harvey,Barnes,0,0,1,1,0,0.5,0.0,4.0,0,2,0.3,0,0,0,0.0,45
Alex,Oxlade-Chamberlain,3,7,94,1718,28,624.1,548.0,494.0,5,423,166.4,5,0,3,3.1,56
Simon,Mignolet,0,0,67,1710,24,0.0,281.0,0.0,0,329,28.0,7,0,3,1.1,47
Loris,Karius,0,0,73,1440,13,0.0,239.2,0.0,5,311,23.8,8,0,1,1.8,49
Dejan,Lovren,1,1,95,1944,23,77.0,571.0,223.0,9,483,87.0,10,0,4,1.5,53
Alberto,Moreno,0,1,45,1173,19,206.5,249.4,99.0,3,300,55.4,5,0,1,1.2,43
Nathaniel,Clyne,0,0,6,90,0,5.1,9.8,4.0,0,19,1.9,1,0,0,0.2,53
Joseph,Gomez,0,2,77,1811,22,255.0,404.6,46.0,6,448,70.6,8,0,3,2.4,45
Joel,Matip,1,0,81,1995,27,96.1,544.8,140.0,3,470,78.1,9,0,3,1.7,54
Ragnar,Klavan,1,0,70,1359,15,52.2,334.4,43.0,7,354,43.0,7,0,0,1.4,41
James,Milner,0,3,74,1646,24,565.4,413.0,272.0,4,435,125.2,6,0,3,2.5,60
Trent,Alexander-Arnold,1,2,69,1329,16,342.7,338.8,110.0,10,335,79.3,6,0,3,4.9,44
Leiva,Lucas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Jordan,Henderson,1,1,68,1958,21,414.2,384.0,101.0,3,342,90.1,12,0,1,1.1,53
Philippe,Coutinho,7,7,103,1109,14,624.4,550.4,519.0,15,381,169.4,5,0,0,3.0,91
Emre,Can,3,6,92,2089,29,426.4,546.4,231.0,10,499,120.6,8,0,8,4.3,49
Adam,Lallana,0,0,12,218,1,106.5,28.0,122.0,0,33,25.5,1,0,1,0.3,73
Oluwaseyi,Ojo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Sadio,Mané,10,8,142,2026,23,643.5,642.6,842.0,8,477,212.7,14,1,3,11.0,95
Marko,Grujic,0,0,3,14,0,11.7,7.4,0.0,0,9,1.9,0,0,0,0.4,42
Georginio,Wijnaldum,1,2,77,2111,22,313.7,308.4,336.0,1,360,95.9,13,0,1,2.2,66
Ben,Woodburn,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,42
Mohamed,Salah,31,11,288,2642,28,871.6,1431.6,1927.0,26,849,423.0,13,0,0,59.8,106
Roberto,Firmino,15,8,175,2497,31,772.8,923.0,1252.0,29,736,294.8,14,0,1,40.2,96
Danny,Ings,1,1,15,192,0,18.6,51.8,115.0,0,48,18.4,2,0,0,0.1,54
Divock,Origi,0,0,1,9,1,0.0,0.0,0.0,0,3,0.0,0,0,0,0.2,74
Dominic,Solanke,0,1,26,475,4,158.9,78.8,275.0,0,63,50.9,2,0,0,1.6,46
Virgil,van Dijk,0,0,65,1983,27,108.3,534.0,231.0,5,418,87.5,6,0,0,7.8,57
Andrew,Robertson,0,4,91,1777,17,377.6,346.8,157.0,9,441,88.1,9,0,2,9.3,51
Jon,Flanagan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Danny,Ward,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Conor,Masterson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Curtis,Jones,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Rafael,Camacho,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Ederson,Santana de Moraes,0,0,143,2925,25,10.0,514.4,0.0,9,614,52.4,14,0,0,8.5,56
