assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,180736,0,0,0,0,0.0,0,0,2,0.5,0.0,0,Trevoh,0.0,0,0,0.0,632,False,0.0,0,0,0,0,0,,None,40,0,0,0,180736.jpg,0.0,0,0,Chalobah,0.0,False,None,a,5,8,0.0,0,1120,2,457,2,0.0,0.0,Chalobah,0
4,2,278,100,100,4,126187,0,0,-1,1,337.4,0,0,3,1.8,2.3,2,Ruben,1.8,29,1,104.6,108,False,296.4,0,0,0,0,1606,,2017-12-31T20:01:17Z,44,0,0,0,126187.jpg,2.9,0,0,Loftus-Cheek,3.1,False,8,a,6,31,411.0,61,511749,82,909640,137,0.4,13.9,Loftus-Cheek,1
0,11,453,100,100,5,20066,0,0,-1,1,10.0,2,0,1,3.5,4.0,10,Wayne,3.5,40,0,59.6,115,False,585.2,0,0,0,0,2160,,2017-12-02T16:31:15Z,44,0,0,0,20066.jpg,3.5,0,89,Hennessey,2.8,False,13,a,6,31,0.0,85,202120,308,127160,309,0.8,19.3,Hennessey,1
0,3,175,100,100,2,11554,0,0,0,0,0.0,1,0,1,0.0,0.5,0,Julian,0.0,14,0,21.3,116,False,213.6,0,0,0,0,990,,2018-04-14T13:31:19Z,40,0,0,0,11554.jpg,3.3,0,30,Speroni,3.1,False,1,a,6,31,0.0,36,293171,35,227763,260,0.0,9.0,Speroni,0
0,9,459,100,100,7,49413,0,0,-2,2,21.4,3,0,2,3.5,4.0,6,James,3.5,31,3,93.5,117,False,664.2,0,0,0,0,2116,,2018-04-07T13:01:18Z,43,0,0,0,49413.jpg,3.5,0,0,Tomkins,3.5,False,5,a,6,31,247.0,87,296467,976,170413,301,0.8,20.2,Tomkins,6
0,0,211,0,0,1,19188,0,0,-4,4,62.3,0,0,2,0.0,0.0,0,Scott,0.0,26,1,67.0,118,False,342.2,0,0,0,0,1434,Knee injury - Unknown return date,2017-12-31T12:31:16Z,46,0,0,0,19188.jpg,1.9,0,0,Dann,0.3,False,6,i,6,31,268.0,32,39469,1,87975,4,0.0,7.0,Dann,4
1,0,252,100,100,3,55494,0,0,-3,3,160.5,0,0,2,1.5,2.0,5,Joel,1.5,25,0,53.8,119,False,318.8,0,0,0,0,1484,,2018-04-14T13:31:19Z,47,1,0,0,55494.jpg,2.0,0,0,Ward,0.2,False,2,a,6,31,58.0,34,10842,15,32043,1,0.3,7.2,Ward,4
0,1,182,100,100,4,58786,0,0,-3,3,24.7,0,0,2,0.3,0.8,0,Martin,0.3,20,0,32.6,120,False,216.2,0,0,0,0,1143,,2018-02-04T15:31:20Z,42,1,0,0,58786.jpg,2.4,0,0,Kelly,0.6,False,34,a,6,31,84.0,33,93692,4,72600,127,0.1,7.9,Kelly,1
0,0,19,100,100,0,7906,0,0,-3,3,0.3,0,0,2,0.0,0.5,0,Damien,0.0,5,0,4.0,121,False,40.0,0,0,0,0,95,,2017-12-31T12:01:16Z,42,0,0,0,7906.jpg,0.5,0,0,Delaney,0.2,False,27,a,6,31,0.0,1,4700,1,24902,1,0.0,0.2,Delaney,0
0,0,0,100,100,0,79228,0,0,0,0,0.0,0,0,2,0.0,0.5,0,Pape,0.0,0,0,0.0,122,False,0.0,0,0,0,0,0,,2017-07-12T10:31:11Z,45,0,0,0,79228.jpg,0.0,0,0,Souaré,0.0,False,23,a,6,31,0.0,0,1570,2,1600,1,0.0,0.0,Souaré,0
