,first_name,second_name,id,position
63,Beram,Kayal,64,Midfielder
64,Steve,Sidwell,65,Midfielder
65,Solomon,March,66,
66,Jiri,Skalak,67,Midfielder
67,Oliver,Norwood,68,Midfielder
68,Jamie,Murphy,69,Forward
69,Pascal,Groß,70,Midfielder
70,Glenn,Murray,71,Forward
71,Tomer,Hemed,72,Forward
72,Sam,Baldock,73,Forward
73,Tom,Heaton,74,Goalkeeper
74,Paul,Robinson,75,
75,Matthew,Lowton,76,Defender
76,Ben,Mee,77,Defender
77,Stephen,Ward,78,Defender
78,James,Tarkowski,79,Defender
79,Kevin,Long,80,Defender
80,Charlie,Taylor,81,
81,Scott,Arfield,82,Midfielder
82,Dean,Marney,83,Midfielder
83,Johann Berg,Gudmundsson,84,Midfielder
84,Steven,Defour,85,Midfielder
85,Jeff,Hendrick,86,Midfielder
86,Robbie,Brady,87,Midfielder
87,Ashley,Westwood,88,Midfielder
88,Jonathan,Walters,89,Forward
89,Jack,Cork,90,Midfielder
90,Sam,Vokes,91,Forward
91,Andre,Gray,92,
92,Ashley,Barnes,93,Forward
93,Thibaut,Courtois,94,Goalkeeper
94,Eduardo,dos Reis Carvalho,95,
95,Willy,Caballero,96,Goalkeeper
96,César,Azpilicueta,97,Defender
97,Gary,Cahill,98,Defender
98,Kurt,Zouma,99,Defender
99,Marcos,Alonso,100,Defender
100,David,Luiz Moreira Marinho,101,
101,Victor,Moses,102,Midfielder
102,Antonio,Rüdiger,103,Defender
103,Eden,Hazard,104,Midfielder
104,Cesc,Fàbregas,105,Midfielder
105,Willian,Borges Da Silva,106,
106,Nemanja,Matic,107,Midfielder
107,Ruben,Loftus-Cheek,108,Midfielder
108,Pedro,Rodríguez Ledesma,109,
109,Robert Kenedy,Nunes do Nascimento,110,
110,N'Golo,Kanté,111,Midfielder
111,Nathaniel,Chalobah,112,Midfielder
112,Michy,Batshuayi,113,Forward
113,Diego,Da Silva Costa,114,
114,Wayne,Hennessey,115,Goalkeeper
115,Julian,Speroni,116,Goalkeeper
116,James,Tomkins,117,Defender
117,Scott,Dann,118,Defender
118,Joel,Ward,119,
119,Martin,Kelly,120,Defender
120,Damien,Delaney,121,Defender
121,Pape,Souaré,122,Defender
122,Jeffrey,Schlupp,123,Defender
123,Patrick,van Aanholt,124,Defender
124,Jason,Puncheon,125,Midfielder
125,Wilfried,Zaha,126,Midfielder
126,James,McArthur,127,Midfielder
127,Chung-yong,Lee,128,
128,Yohan,Cabaye,129,Midfielder
129,Bakary,Sako,130,Midfielder
130,Andros,Townsend,131,Midfielder
131,Luka,Milivojevic,132,Midfielder
132,Connor,Wickham,133,Forward
133,Christian,Benteke,134,Forward
134,Jordan,Pickford,135,Goalkeeper
135,Joel,Robles,136,Goalkeeper
136,Maarten,Stekelenburg,137,Goalkeeper
137,Leighton,Baines,138,Defender
138,Seamus,Coleman,139,Defender
139,Phil,Jagielka,140,Defender
140,Matthew,Pennington,141,Defender
141,Ramiro,Funes Mori,142,Defender
142,Ashley,Williams,143,Defender
143,Mason,Holgate,144,Defender
144,Jonjoe,Kenny,145,Defender
145,Michael,Keane,146,Defender
146,Yannick,Bolasie,147,Forward
147,Kevin,Mirallas,148,Forward
148,Ross,Barkley,149,Midfielder
149,James,McCarthy,150,Midfielder
150,Gareth,Barry,151,Midfielder
151,Muhamed,Besic,152,Midfielder
152,Aaron,Lennon,153,Midfielder
153,Morgan,Schneiderlin,154,Midfielder
154,Idrissa,Gueye,155,Midfielder
155,Tom,Davies,156,Midfielder
156,Ademola,Lookman,157,Forward
157,Davy,Klaassen,158,Midfielder
158,Dominic,Calvert-Lewin,159,Forward
159,Sandro,Ramírez,160,Forward
160,Wayne,Rooney,161,Forward
161,Joel,Coleman,162,
162,Jonas,Lössl,163,Goalkeeper
163,Christopher,Schindler,164,Defender
164,Chris,Löwe,165,Defender
