FirstName,Surname,PositionsList,Team
Connor,Goldson,DEF,Brighton & Hove Albion
Heurelho,Gomes,GLK,Watford
Joseph,Gomez,DEF,Liverpool
Dan,Gosling,MID,Bournemouth
Yoan,Gouffran,MID,Newcastle Utd
Max,Gradel,MID,Bournemouth
Lee,Grant,GLK,Stoke
Andre,Gray,FWD,Watford
Demarai,Gray,MID,Leicester
Robert,Green,GLK,Huddersfield Town
Pascal,Groß,MID,Brighton & Hove Albion
Marko,Grujic,MID,Liverpool
Johann Berg,Gudmundsson,MID,Burnley
Idrissa,Gueye,MID,Everton
Ilkay,Gündogan,MID,Man City
Florent,Hadergjonaj,DEF,Huddersfield Town
Massadio,Haidara,DEF,Newcastle Utd
Sead,Haksabanovic,MID,West Ham
Ben,Hamer,GLK,Leicester
Grant,Hanley,DEF,Newcastle Utd
Rekeem,Harper,MID,West Brom
Joe,Hart,GLK,West Ham
Jakob,Haugaard,GLK,Stoke
Isaac,Hayden,MID,Newcastle Utd
Eden,Hazard,MID,Chelsea
Tom,Heaton,GLK,Burnley
Michael,Hefele,DEF,Huddersfield Town
Ahmed El-Sayed,Hegazi,DEF,West Brom
Tomer,Hemed,FWD,Brighton & Hove Albion
Jordan,Henderson,MID,Liverpool
Jeff,Hendrick,MID,Burnley
Wayne,Hennessey,GLK,Crystal Palace
Dion,Henry,GLK,Crystal Palace
Ander,Herrera,MID,Man Utd
Wesley,Hoedt,DEF,Southampton
Jonathan,Hogg,MID,Huddersfield Town
Pierre-Emile,Højbjerg,MID,Southampton
Rob,Holding,DEF,Arsenal
José,Holebas,DEF,Watford
Mason,Holgate,DEF,Everton
Mark,Hudson,DEF,Huddersfield Town
Callum,Hudson-Odoi,MID,Chelsea
Will,Hughes,MID,Watford
Jordan,Hugill,FWD,West Ham
Uwe,Hünemeier,DEF,Brighton & Hove Albion
Robert,Huth,DEF,Leicester
Emerson,Hyndman,MID,Bournemouth
Jordon,Ibe,MID,Bournemouth
Vicente,Iborra,MID,Leicester
Zlatan,Ibrahimovic,FWD,Man Utd
Kelechi,Iheanacho,FWD,Leicester
Giannelli,Imbula,MID,Stoke
Tom,Ince,MID,Huddersfield Town
Danny,Ings,FWD,Liverpool
Stephen,Ireland,MID,Stoke
Alex,Iwobi,MID,Arsenal
José Heriberto,Izquierdo Mena,MID,Brighton & Hove Albion
Jaroslaw,Jach,DEF,Crystal Palace
Phil,Jagielka,DEF,Everton
Eldin,Jakupovic,GLK,Leicester
Matty,James,MID,Leicester
Kyle,Jameson,DEF,West Brom
Daryl,Janmaat,DEF,Watford
Vincent,Janssen,FWD,Tottenham
Carl,Jenkinson,DEF,Arsenal
Jesé,Rodríguez Ruiz,MID,Stoke
Gabriel Fernando,de Jesus,FWD,Man City
 ,João Mário,MID,West Ham
Joel Dinis,Castro Pereira,GLK,Man Utd
Ben,Johnson,MID,West Ham
Glen,Johnson,DEF,Stoke
Curtis,Jones,MID,Liverpool
Phil,Jones,DEF,Man Utd
Jordan,Ayew,FWD,Swansea
Jose Luis,Mato Sanmartín,FWD,Newcastle Utd
Christian,Kabasele,DEF,Watford
Younes,Kaboul,DEF,Watford
Elias,Kachunga,MID,Huddersfield Town
Sullay,Kaikai,MID,Crystal Palace
Harry,Kane,FWD,Tottenham
N'Golo,Kanté,MID,Chelsea
Loris,Karius,GLK,Liverpool
Orestis,Karnezis,GLK,Watford
Beram,Kayal,MID,Brighton & Hove Albion
Michael,Keane,DEF,Everton
Martin,Kelly,DEF,Crystal Palace
Robert Kenedy,Nunes do Nascimento,MID,Newcastle Utd
Jonjoe,Kenny,DEF,Everton
Sung-yueng,Ki,MID,Swansea
Francisco,Femenía Far,DEF,Watford
Andy,King,MID,Swansea
Joshua,King,FWD,Bournemouth
Stephen,Kingsley,DEF,Swansea
