player,position
Oliver Shenton,Midfielder
Sheyi Ojo,Forward
Steve Sidwell,Midfielder
Siem de Jong,Midfielder
David Silva,Midfielder
Jack Simpson,Defender
Jerome Sinclair,Forward
Moussa Sissoko,Midfielder
Jiri Skalak,Midfielder
Islam Slimani,Forward
Chris Smalling,Defender
Tommy Smith,Defender
Robert Snodgrass,Midfielder
Rubén Sobrino,Forward
Dominic Solanke,Forward
Solly March,Midfielder
Son Heung-Min,Midfielder
Lasse Sorenson,Midfielder
Pape Souaré,Defender
Harry Souttar,Defender
Julian Speroni,Goalkeeper
Raphael Spiegel,Goalkeeper
Konstantinos Stafylidis,Defender
Junior Stanislas,Midfielder
Jon Gorenc Stankovic,Defender
Maarten Stekelenburg,Goalkeeper
Dale Stephens,Midfielder
Dujon Sterling,Midfielder
Jamie Sterry,Defender
Steve Cook,Defender
Kevin Stewart,Midfielder
John Stones,Defender
Stuart Taylor,Goalkeeper
Daniel Sturridge,Forward
Mario Suárez,Midfielder
Andrew Surman,Midfielder
Sam Surridge,Forward
Markus Suttner,Defender
Ryan Sweeney,Defender
Wojciech Szczesny,Goalkeeper
Alexander Sørloth,Forward
Dusan Tadic,Midfielder
Matt Targett,Defender
James Tarkowski,Defender
Kyle Taylor,Midfielder
James Tilley,Forward
Tom Dele-Bashiru,Midfielder
James Tomkins,Defender
Fikayo Tomori,Defender
Toni Martínez,Forward
Tosin Adarabioyo,Defender
Cenk Tosun,Forward
Richard Towell,Midfielder
Andros Townsend,Midfielder
Kieran Trippier,Defender
Nathan Trott,Goalkeeper
Axel Tuanzebe,Defender
Rayhaan Tulloch,Forward
Josh Tymon,Defender
Leonardo Ulloa,Forward
Fredrik Ulvestad,Midfielder
Enner Valencia,Forward
Patrick van Aanholt,Defender
Mike van der Hoorn,Defender
Virgil van Dijk,Defender
Rajiv van La Parra,Midfielder
Jamie Vardy,Forward
Guillermo Varela,Defender
Thibaud Verlinden,Midfielder
Jan Vertonghen,Defender
Nikola Vlasic,Forward
Sam Vokes,Forward
Michel Vorm,Goalkeeper
Mark Waddington,Midfielder
Molla Wagué,Defender
Theo Walcott,Forward
Kyle Walker,Defender
Kyle Walker-Peters,Defender
Anton Walkes,Defender
Jonathan Walters,Forward
Christian Walton,Goalkeeper
Aaron Wan-Bissaka,Defender
Victor Wanyama,Midfielder
Stephen Ward,Defender
James Ward-Prowse,Midfielder
Ben Watson,Midfielder
Danny Welbeck,Forward
Nahki Wells,Forward
Ashley Westwood,Midfielder
Glenn Whelan,Midfielder
Ben White,Defender
Dean Whitehead,Midfielder
Alfie Whiteman,Goalkeeper
Connor Wickham,Forward
Rhoys Wiggins,Defender
Georginio Wijnaldum,Midfielder
Wilfred Ndidi,Midfielder
Will Miller,Midfielder
Joe Williams,Midfielder
Willian,Midfielder
Matty Willock,Midfielder
Jack Wilshere,Midfielder
Marc Wilson,Defender
Kevin Wimmer,Defender
Harry Winks,Midfielder
